,DT_score_c45,RandomForest_gini,LassoLars,multi_Lasso,SVM,ensemble
INPP4B,,,,,0.0003761911858699254,-0.12328353400881002
CPXM1,,,,,0.0003754081374042476,-0.12901262624116555
NAALADL2,,,,,0.00037513427203205774,-0.1310163336044968
SPON1,,,,,0.00037044566483799294,-0.1653200379516226
MFAP4,,,,,0.00037037505475771745,-0.16583664922175914
TACSTD2,,,,,0.00036785935038,-0.18424253728745865
TWSG1,,,,,0.00036768983287120715,-0.18548279441768944
WFDC2,,,,,0.0003665635020667493,-0.19372347599197268
GALNT3,,,,,0.0003645699675714739,-0.2083089627050186
MT2A,,,,,0.00036369459952829633,-0.21471350147425022
C1orf116,,,,,0.00036272573290120115,-0.22180211285755022
RAB11FIP4,,,,,0.0003623274060578699,-0.22471642956219032
GRB14,,,,,0.00036150239359676795,-0.2307525469797811
PRKAR2B,,,,,0.0003570461746361549,-0.26335600711276774
