,Volcano Plot_p
ADAMTSL5,-1.3273184018591557
ORM1,-1.328399948727189
KLHL40,-1.3315330474469582
BICDL2,-1.3325327006548782
FHL5,-1.336262424828653
JSRP1,-1.3384110806942473
CILP,-1.3397854741093704
AFM,-1.339843832540244
CP,-1.3398753983759975
CES2,-1.3474286171092784
PRKAR2B,-1.3483251688815734
AADAC,-1.3511614878211744
SLPI,-1.3533277365896155
TJP3,-1.3541375623985297
ANXA9,-1.3549493129089294
THBS4,-1.3558218497353218
EHD2,-1.3572700934541706
IGHA2,-1.3620427548398741
GAMT,-1.3649600496416268
ANKRD35,-1.3653095069337255
SERPINA7,-1.367608517307583
TMPRSS11A,-1.3680929892566294
IGFL1,-1.3684341240188276
ABLIM1,-1.368977683037202
MGLL,-1.3707192521084435
TRIM72,-1.372834155958176
ITGA7,-1.374207597234337
CFD,-1.3760006362501889
A2M,-1.3768522543932336
MYLK3,-1.37947667082109
KLK11,-1.3814363620331986
POTEF,-1.3819465591196405
KNG1,-1.3836940098018775
IGLV1-47,-1.3869195259122227
SERPINA3,-1.3903717361893217
PPP1R12B,-1.391216697151344
ANG,-1.392196996402742
CRABP1,-1.3932312603014498
UGT1A7,-1.3947184351622122
NCCRP1,-1.3955447214470729
CYSRT1,-1.3961868735874967
KLK13,-1.3973819267384464
TFF3,-1.3985559933372191
EPHX2,-1.403173539928271
SYPL2,-1.4037016281586747
OBSCN,-1.4043257278934254
APCS,-1.4045544615028973
GC,-1.412258597923058
HPX,-1.415456908643368
NCALD,-1.415539198838243
COQ9,-1.4160107489350289
AHSG,-1.4162590515044606
KRT24,-1.4183058154605055
CSTB,-1.4206740939166893
TTC22,-1.4218491043832358
ITIH5,-1.427323815619156
GCNT3,-1.4281344956121034
PIGR,-1.4327183788696396
LDHD,-1.4327437284577287
CXCL12,-1.4328448161189857
LIPE,-1.4353373761489516
TTR,-1.4389696544615047
KLHL41,-1.4395013335306392
SPTA1,-1.4395484153593996
GPX3,-1.4397950209769177
MYL4,-1.4441390378886276
MFAP5,-1.4458176444347257
MAOB,-1.4460066961272968
COL14A1,-1.446141427309759
CSTA,-1.4478567812483991
HP,-1.449605105894188
AHSP,-1.4503771834474286
ANK2,-1.451108652901181
PHKG1,-1.4512667798114345
RHCG,-1.4596662157634845
IL33,-1.460280569315378
ACYP2,-1.464126100370848
CAPN3,-1.4652363091067233
AIF1L,-1.4675090366323014
PLA2G2A,-1.4683937977630594
LUM,-1.471032347304461
ACTN3,-1.4734916321691265
HBD,-1.4776534949693472
SMPX,-1.4787382453303424
LMOD3,-1.4796521597745456
CRISP3,-1.4844460051109822
PI16,-1.4924971577851092
TPPP,-1.4931421712329351
ACAT1,-1.493422282803131
NOSTRIN,-1.4953170456901121
FXYD1,-1.4984910878594908
PODN,-1.500671477838002
CRYAB,-1.5029253410814547
PRH2,-1.5040420957478522
HPR,-1.505673270891675
JCHAIN,-1.5078102583432544
HRC,-1.5084070329307178
ECHDC3,-1.509315557144819
SLC12A2,-1.5127315516414686
AZGP1,-1.5167491073520984
AGR3,-1.518017213841695
LRG1,-1.525178103206039
IGLV6-57,-1.5315536350748056
ADH7,-1.532409834046252
GDPD3,-1.535443990519875
MYH4,-1.5385058958648314
ASPN,-1.539229331621725
LMOD1,-1.544575603471449
ORM2,-1.545390694606405
GOT1,-1.545802519218295
ADPRHL1,-1.5475681194148512
AKAP12,-1.5515579218541
SSC5D,-1.5519421325092964
ACADS,-1.5523876134657004
SERPINA1,-1.5549647950630046
SYNM,-1.5553991912508722
SNTA1,-1.5575455009909216
HBZ,-1.5629493690373513
GDF10,-1.5635423603249032
ALDH3A1,-1.5648061836558727
