idx	NX1	NX2	NX3	NX4	NX5	NX6	NX7	NX8	NX9	NX12	NX17	NX13	NX14	NX10	NX16	NX18	NX11	NX15
ENSG00000004534.15	23.7308258074076	23.82949609765	23.6310648581344	23.6933757148961	23.9031433859563	23.6362567657593	23.9065956744036	23.6716306905236	23.5276937481417	23.6645955164834	23.7138587416534	23.7186040810904	23.7011619993451	23.7704904977048	23.5988707642246	23.6461862176449	23.7344675435476	23.6840931826952
ENSG00000004660.15	21.4081233397329	21.8074444866767	21.8484804717139	22.1154245524068	21.7811939412567	22.092090980997	21.8997027654304	22.3537967624585	23.1094651367094	21.8754509793712	22.1332610286774	21.6866863363861	21.6017236625013	21.9680091426939	22.4317006992229	21.6994526472721	21.5461122291534	21.4472883409073
ENSG00000004700.16	27.0695493255551	27.6046610912333	26.8755128947945	27.1654414286793	27.3789072822354	27.3083961812281	27.3701874253734	27.2165449473826	27.3047341409444	27.1105973934967	27.1787536198793	26.9602408852194	26.9979549957779	27.2342576195674	27.1962618425339	26.9210200071213	27.0718439038211	26.9027765608488
ENSG00000004766.17	23.7239171366154	23.6846504616018	23.6582382005524	23.5790810233877	23.6568591028998	23.7405099595002	23.5878477524467	23.7029497913508	23.6633397866917	23.6697784485585	23.7619145482216	23.5487253554386	23.6210431709894	23.6314629281949	23.7060282144712	23.629379958328	23.5969250339591	23.6610401654549
ENSG00000004776.13	28.6461397995124	28.4665837910421	28.2476992003938	27.4782840228534	27.4477423746826	29.3785425690407	27.5806965477951	29.5039837571293	30.4778883906853	27.4579367015166	28.3011835077949	27.4996579094205	26.910185193029	29.0795423321691	29.08387668973	27.0824477155184	27.2644600378486	27.0286323117469
ENSG00000004779.10	26.4863995704702	26.6594839478481	27.1513821089078	26.8459197167458	26.9639789630818	26.7797731099934	26.8886194828439	26.4975303955104	26.6803838683377	26.6454613250383	26.7381420201809	26.6229182165551	27.0075549552085	26.8978063879435	26.6439802417018	26.595752693049	26.7317569938411	26.6880286186651
ENSG00000004799.8	NA	NA	NA	NA	18.1588933491557	17.7285673726409	17.9664278758634	NA	NA	17.2256437604538	18.8565730509196	17.0742875483345	16.4986258660412	17.9358643498096	16.9621700922842	16.10253193004	17.6683221554914	16.2060862982336
ENSG00000004838.14	21.8439101353343	20.7477047013971	21.9580027489275	21.9108483719153	21.5936427195407	21.7710502606747	21.3605318756597	21.4930967100685	21.4795656683516	21.483565634117	21.2331194732086	22.008872110649	21.7201891068031	21.4421903353023	21.8787248657947	21.8371211727561	21.5072611201463	21.8783881038234
ENSG00000004848.8	15.3756821602917	16.7874543333464	16.1668181874069	16.529726020103	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000004864.14	25.3253710658716	25.3797037855881	25.6695401613924	25.9497650413542	25.8191345124869	25.2750343989822	25.4124935423254	25.3027350426488	24.9373606201488	25.6897066836124	25.7981218313561	25.7024321654926	25.9116192071658	25.8186942062018	25.4458441199413	25.722192544384	25.668884039133	25.9514480299536
